Año,Alcaldía,Grupo de edad,Población
2020,Álvaro Obregón,0 a 4 años,38484
2020,Álvaro Obregón,5 a 9 años,46700
2020,Álvaro Obregón,10 a 14 años,50868
2020,Álvaro Obregón,15 a 19 años,54848
2020,Álvaro Obregón,20 a 24 años,59941
2020,Álvaro Obregón,25 a 29 años,60708
2020,Álvaro Obregón,30 a 34 años,59486
2020,Álvaro Obregón,35 a 39 años,57172
2020,Álvaro Obregón,40 a 44 años,55144
2020,Álvaro Obregón,45 a 49 años,55973
2020,Álvaro Obregón,50 a 54 años,52721
2020,Álvaro Obregón,55 a 59 años,43950
2020,Álvaro Obregón,60 a 64 años,38506
2020,Álvaro Obregón,65 a 69 años,29503
2020,Álvaro Obregón,70 a 74 años,21797
2020,Álvaro Obregón,75 a 79 años,14182
2020,Álvaro Obregón,80 a 84 años,9657
2020,Álvaro Obregón,85 a 89 años,5536
2020,Álvaro Obregón,90 a 94 años,2332
2020,Álvaro Obregón,95 a 99 años,715
2020,Álvaro Obregón,100 años y más,91
2020,Álvaro Obregón,No especificado,823
2020,Azcapotzalco ,0 a 4 años,21060
2020,Azcapotzalco ,5 a 9 años,23420
2020,Azcapotzalco ,10 a 14 años,25886
2020,Azcapotzalco ,15 a 19 años,27983
2020,Azcapotzalco ,20 a 24 años,31456
2020,Azcapotzalco ,25 a 29 años,34405
2020,Azcapotzalco ,30 a 34 años,34905
2020,Azcapotzalco ,35 a 39 años,33162
2020,Azcapotzalco ,40 a 44 años,31245
2020,Azcapotzalco ,45 a 49 años,31859
2020,Azcapotzalco ,50 a 54 años,31135
2020,Azcapotzalco ,55 a 59 años,26674
2020,Azcapotzalco ,60 a 64 años,23787
2020,Azcapotzalco ,65 a 69 años,18059
2020,Azcapotzalco ,70 a 74 años,14232
2020,Azcapotzalco ,75 a 79 años,9631
2020,Azcapotzalco ,80 a 84 años,6845
2020,Azcapotzalco ,85 a 89 años,3794
2020,Azcapotzalco ,90 a 94 años,1689
2020,Azcapotzalco ,95 a 99 años,535
2020,Azcapotzalco ,100 años y más,78
2020,Azcapotzalco ,No especificado,365
2020,Benito Juárez,0 a 4 años,16642
2020,Benito Juárez,5 a 9 años,17069
2020,Benito Juárez,10 a 14 años,17532
2020,Benito Juárez,15 a 19 años,18970
2020,Benito Juárez,20 a 24 años,25111
2020,Benito Juárez,25 a 29 años,37175
2020,Benito Juárez,30 a 34 años,45187
2020,Benito Juárez,35 a 39 años,42967
2020,Benito Juárez,40 a 44 años,36849
2020,Benito Juárez,45 a 49 años,33531
2020,Benito Juárez,50 a 54 años,29025
2020,Benito Juárez,55 a 59 años,26713
2020,Benito Juárez,60 a 64 años,25751
2020,Benito Juárez,65 a 69 años,20433
2020,Benito Juárez,70 a 74 años,16089
2020,Benito Juárez,75 a 79 años,10426
2020,Benito Juárez,80 a 84 años,7348
2020,Benito Juárez,85 a 89 años,4421
2020,Benito Juárez,90 a 94 años,2099
2020,Benito Juárez,95 a 99 años,660
2020,Benito Juárez,100 años y más,117
2020,Benito Juárez,No especificado,38
2020,Coyoacán,0 a 4 años,26627
2020,Coyoacán,5 a 9 años,30448
2020,Coyoacán,10 a 14 años,34252
2020,Coyoacán,15 a 19 años,39399
2020,Coyoacán,20 a 24 años,47036
2020,Coyoacán,25 a 29 años,47839
2020,Coyoacán,30 a 34 años,45644
2020,Coyoacán,35 a 39 años,44680
2020,Coyoacán,40 a 44 años,44815
2020,Coyoacán,45 a 49 años,46180
2020,Coyoacán,50 a 54 años,43229
2020,Coyoacán,55 a 59 años,37578
2020,Coyoacán,60 a 64 años,36144
2020,Coyoacán,65 a 69 años,30490
2020,Coyoacán,70 a 74 años,24070
2020,Coyoacán,75 a 79 años,15949
2020,Coyoacán,80 a 84 años,10393
2020,Coyoacán,85 a 89 años,5837
2020,Coyoacán,90 a 94 años,2742
2020,Coyoacán,95 a 99 años,836
2020,Coyoacán,100 años y más,131
2020,Coyoacán,No especificado,128
2020,Cuajimalpa de Morelos,0 a 4 años,14255
2020,Cuajimalpa de Morelos,5 a 9 años,15279
2020,Cuajimalpa de Morelos,10 a 14 años,15773
2020,Cuajimalpa de Morelos,15 a 19 años,16776
2020,Cuajimalpa de Morelos,20 a 24 años,18294
2020,Cuajimalpa de Morelos,25 a 29 años,18450
2020,Cuajimalpa de Morelos,30 a 34 años,18156
2020,Cuajimalpa de Morelos,35 a 39 años,16830
2020,Cuajimalpa de Morelos,40 a 44 años,15914
2020,Cuajimalpa de Morelos,45 a 49 años,15880
2020,Cuajimalpa de Morelos,50 a 54 años,14603
2020,Cuajimalpa de Morelos,55 a 59 años,11557
2020,Cuajimalpa de Morelos,60 a 64 años,9043
2020,Cuajimalpa de Morelos,65 a 69 años,6259
2020,Cuajimalpa de Morelos,70 a 74 años,4385
2020,Cuajimalpa de Morelos,75 a 79 años,2805
2020,Cuajimalpa de Morelos,80 a 84 años,1829
2020,Cuajimalpa de Morelos,85 a 89 años,1006
2020,Cuajimalpa de Morelos,90 a 94 años,354
2020,Cuajimalpa de Morelos,95 a 99 años,98
2020,Cuajimalpa de Morelos,100 años y más,24
2020,Cuajimalpa de Morelos,No especificado,116
2020,Cuauhtémoc,0 a 4 años,26032
2020,Cuauhtémoc,5 a 9 años,27530
2020,Cuauhtémoc,10 a 14 años,29907
2020,Cuauhtémoc,15 a 19 años,31790
2020,Cuauhtémoc,20 a 24 años,38297
2020,Cuauhtémoc,25 a 29 años,50171
2020,Cuauhtémoc,30 a 34 años,53817
2020,Cuauhtémoc,35 a 39 años,47893
2020,Cuauhtémoc,40 a 44 años,40991
2020,Cuauhtémoc,45 a 49 años,38772
2020,Cuauhtémoc,50 a 54 años,35732
2020,Cuauhtémoc,55 a 59 años,31077
2020,Cuauhtémoc,60 a 64 años,29518
2020,Cuauhtémoc,65 a 69 años,22337
2020,Cuauhtémoc,70 a 74 años,16920
2020,Cuauhtémoc,75 a 79 años,10819
2020,Cuauhtémoc,80 a 84 años,7568
2020,Cuauhtémoc,85 a 89 años,4157
2020,Cuauhtémoc,90 a 94 años,1857
2020,Cuauhtémoc,95 a 99 años,546
2020,Cuauhtémoc,100 años y más,87
2020,Cuauhtémoc,No especificado,66
2020,Gustavo A. Madero,0 a 4 años,63262
2020,Gustavo A. Madero,5 a 9 años,71634
2020,Gustavo A. Madero,10 a 14 años,77449
2020,Gustavo A. Madero,15 a 19 años,84333
2020,Gustavo A. Madero,20 a 24 años,91577
2020,Gustavo A. Madero,25 a 29 años,91448
2020,Gustavo A. Madero,30 a 34 años,87626
2020,Gustavo A. Madero,35 a 39 años,83599
2020,Gustavo A. Madero,40 a 44 años,81503
2020,Gustavo A. Madero,45 a 49 años,84691
2020,Gustavo A. Madero,50 a 54 años,82520
2020,Gustavo A. Madero,55 a 59 años,70006
2020,Gustavo A. Madero,60 a 64 años,62094
2020,Gustavo A. Madero,65 a 69 años,46560
2020,Gustavo A. Madero,70 a 74 años,36300
2020,Gustavo A. Madero,75 a 79 años,25079
2020,Gustavo A. Madero,80 a 84 años,17679
2020,Gustavo A. Madero,85 a 89 años,10023
2020,Gustavo A. Madero,90 a 94 años,4209
2020,Gustavo A. Madero,95 a 99 años,1338
2020,Gustavo A. Madero,100 años y más,187
2020,Gustavo A. Madero,No especificado,234
2020,Iztacalco,0 a 4 años,20466
2020,Iztacalco,5 a 9 años,23276
2020,Iztacalco,10 a 14 años,25570
2020,Iztacalco,15 a 19 años,27759
2020,Iztacalco,20 a 24 años,30641
2020,Iztacalco,25 a 29 años,31727
2020,Iztacalco,30 a 34 años,31735
2020,Iztacalco,35 a 39 años,30107
2020,Iztacalco,40 a 44 años,28748
2020,Iztacalco,45 a 49 años,30076
2020,Iztacalco,50 a 54 años,28900
2020,Iztacalco,55 a 59 años,24605
2020,Iztacalco,60 a 64 años,21833
2020,Iztacalco,65 a 69 años,16292
2020,Iztacalco,70 a 74 años,12400
2020,Iztacalco,75 a 79 años,8395
2020,Iztacalco,80 a 84 años,6174
2020,Iztacalco,85 a 89 años,3638
2020,Iztacalco,90 a 94 años,1642
2020,Iztacalco,95 a 99 años,468
2020,Iztacalco,100 años y más,65
2020,Iztacalco,No especificado,178
2020,Iztapalapa,0 a 4 años,103148
2020,Iztapalapa,5 a 9 años,126728
2020,Iztapalapa,10 a 14 años,136959
2020,Iztapalapa,15 a 19 años,143193
2020,Iztapalapa,20 a 24 años,150740
2020,Iztapalapa,25 a 29 años,151590
2020,Iztapalapa,30 a 34 años,144870
2020,Iztapalapa,35 a 39 años,136930
2020,Iztapalapa,40 a 44 años,131513
2020,Iztapalapa,45 a 49 años,129385
2020,Iztapalapa,50 a 54 años,118681
2020,Iztapalapa,55 a 59 años,99290
2020,Iztapalapa,60 a 64 años,87752
2020,Iztapalapa,65 a 69 años,64935
2020,Iztapalapa,70 a 74 años,46866
2020,Iztapalapa,75 a 79 años,29463
2020,Iztapalapa,80 a 84 años,17848
2020,Iztapalapa,85 a 89 años,9780
2020,Iztapalapa,90 a 94 años,3883
2020,Iztapalapa,95 a 99 años,1337
2020,Iztapalapa,100 años y más,200
2020,Iztapalapa,No especificado,395
2020,La Magdalena Contreras,0 a 4 años,13012
2020,La Magdalena Contreras,5 a 9 años,16270
2020,La Magdalena Contreras,10 a 14 años,18096
2020,La Magdalena Contreras,15 a 19 años,18889
2020,La Magdalena Contreras,20 a 24 años,19969
2020,La Magdalena Contreras,25 a 29 años,19833
2020,La Magdalena Contreras,30 a 34 años,18142
2020,La Magdalena Contreras,35 a 39 años,17677
2020,La Magdalena Contreras,40 a 44 años,17816
2020,La Magdalena Contreras,45 a 49 años,18821
2020,La Magdalena Contreras,50 a 54 años,17234
2020,La Magdalena Contreras,55 a 59 años,13747
2020,La Magdalena Contreras,60 a 64 años,12007
2020,La Magdalena Contreras,65 a 69 años,9248
2020,La Magdalena Contreras,70 a 74 años,6846
2020,La Magdalena Contreras,75 a 79 años,4482
2020,La Magdalena Contreras,80 a 84 años,2832
2020,La Magdalena Contreras,85 a 89 años,1661
